num_sum,denom_sum,fst,nSites,city
60.517037000000045,16495.016613,0.0036688072779693685,558440,Albuquerque
20.061324,8106.566794,0.0024747003891768585,242389,Antwerp
13.146658,5118.134655,0.0025686424617915806,153664,Armidale
66.81040700000004,15804.275472,0.004227362849905154,526225,Athens
4.812873,1337.383657,0.0035987227560385832,49608,Bogota
124.81229400000029,25237.177958,0.004945572528264227,975203,Buenos_Aires
224.22986400000067,42563.675123,0.00526810392551921,1671688,Calgary
6.193735,1412.501815,0.004384939498290131,52102,Canberra
141.05970200000027,15836.553647,0.00890722218635757,540025,Cape_Town
73.21237200000003,21634.092504,0.003384120317802263,760037,Christchurch
0.290512,22.032425,0.013185657048645348,1827,Hiroshima
364.4468840000016,36999.643749,0.00985001062367936,1527184,Kunming
0.447441,59.688138,0.0074963135891422845,5375,Kyoto
115.45706600000031,29003.985364,0.003980731080608896,1057233,Landshut
11.319761000000003,4248.904946,0.002664159623212245,124673,Linkoping
272.155334000001,44185.641399,0.006159361398478202,1891422,Loja
6.189822,844.848568,0.007326546122523581,32732,Medellin
1.282547,226.567412,0.005660774374736647,14120,Melbourne
176.76609600000043,46723.735517,0.0037832184016127245,2208212,Memphis
0.092766,4.272792,0.02171086259289008,892,Mexico_City
163.6046970000003,33403.609135,0.004897814973789068,1309619,Munich
107.76782200000027,23068.405168,0.0046716633081117145,860382,Palmerston_North
0.009945,0.513696,0.019359699121659503,55,Paris
288.15611700000113,50582.873503,0.005696713077854523,2293274,Punta_Arenas
256.2440860000015,38305.38183,0.006689506115282118,1589413,Quito
149.70051900000044,34546.173236,0.004333345924520519,1368173,Sapporo
346.61261500000114,38942.912213,0.00890053145240366,1631417,Tehran
599.8973329999988,42507.804821000005,0.014112639679375616,1692326,Thessaloniki
672.8305969999976,143502.147555,0.0046886447935709265,7449560,Toronto
74.28816200000003,18885.284667,0.003933653281372591,708067,Vancouver
97.5782930000003,28871.73976,0.0033797164220491123,1094325,Warsaw
