city	population	tp_mean	tw_mean	tp_sd	tw_sd	taj	taj_sd	nSites
Albuquerque	1	0.021397494352766368	0.02255421032998286	7.373255682852323e-4	6.152594928582018e-4	-0.220533625	0.035177577850812866	4764908
Albuquerque	14	0.024977450126561725	0.027087146255661016	0.0010307636717915363	8.804557855417029e-4	-0.327688375	0.04942363974573976	935232
Albuquerque	15	0.023247986542148807	0.023982839361355535	8.194469811652295e-4	6.50216163859184e-4	-0.13208106249999998	0.04182071792380542	1814015
Albuquerque	2	0.02471019733183655	0.025303537719136855	0.0010849528654778787	8.137853618279103e-4	-0.0995864375	0.06367454412868484	1258251
Albuquerque	29	0.020907478265411707	0.02159020125504288	6.57005016727076e-4	5.681219945215851e-4	-0.139541	0.02831732678061261	5744767
Albuquerque	3	0.021774834789527582	0.022371539531822165	6.081662229953356e-4	5.05673936436049e-4	-0.117679125	0.03260555628697866	2723519
Albuquerque	32	0.023294567232080222	0.024208039518295227	8.431780353130055e-4	7.317962911517459e-4	-0.1589445	0.0367828783956159	2521749
Albuquerque	33	0.023386813762568428	0.024304275698640413	9.037594182495974e-4	7.041153634591711e-4	-0.159323875	0.052137505454806714	1584045
Albuquerque	35	0.02136419309064261	0.02189534406459508	9.472290257348053e-4	7.903192411890013e-4	-0.1050249375	0.04058318748031628	2485103
Albuquerque	36	0.025897508075661886	0.0274232750671142	0.0010995966157174557	8.929862134592182e-4	-0.23450225	0.05195717513298813	779041
Antwerp	1	0.02410487540776138	0.025675991841458128	9.094753148214558e-4	7.884107486708578e-4	-0.2575245	0.03448954084356589	1852633
Antwerp	2	0.024188821685671772	0.025569898971767185	0.0010072539899629274	8.364222297627429e-4	-0.2276135625	0.045022008129311966	1498196
Antwerp	3	0.022939461796536834	0.024027710699132693	8.837500320115863e-4	7.22025793876864e-4	-0.19500725	0.039657281254098425	1572094
Antwerp	36	0.02558150979102833	0.027407098047562927	0.001189108996218816	0.0010252304210625026	-0.280609375	0.047568389069317873	1486673
Antwerp	37	0.026604278218569546	0.028325560123314303	0.0010486264511027565	8.490650093957547e-4	-0.255946625	0.044838367878228286	1264477
Antwerp	38	0.025742252847900826	0.026987431677464088	9.878333240021533e-4	7.670076695841539e-4	-0.198664125	0.05109305937975659	983234
Antwerp	39	0.03027685329226132	0.03240355644513315	0.0028248929110917136	0.002266173648279813	-0.2803584375	0.10531351836807323	157472
Antwerp	4	0.026430930264255192	0.027994710699037882	0.001108452278806511	8.231084311563439e-4	-0.2356115625	0.05911459038733584	774828
Antwerp	40	0.026783152261974023	0.02880061136477214	0.0010857088511511573	8.400554625779004e-4	-0.301150125	0.062121814429259334	728807
Antwerp	5	0.021743053668133793	0.022178353789436195	7.74310020654827e-4	6.510139419314573e-4	-0.084809	0.03127296200447494	6040831
Armidale	1	0.02776842461349285	0.03130014858193123	0.002364141283016002	0.002146557320181847	-0.486127125	0.09579914344841503	120490
Armidale	2	0.03006238750408568	0.034310075944723496	0.0030956907564119855	0.0027184898966891562	-0.5238731875	0.12499686294155211	100362
Armidale	3	0.023011305953943715	0.023337454910735966	0.0011854730764680435	9.506316536371191e-4	-0.0601636875	0.05222617654231608	1575550
Armidale	35	0.023601166595925052	0.02453009724436243	9.430011202107892e-4	7.043978354827872e-4	-0.160033375	0.05357138393691791	1972353
Armidale	36	0.027033164193616406	0.02754326805141316	0.004019475218022025	0.003450596970305899	-0.0942005625	0.16467623036935994	44477
Armidale	37	0.02105052510507986	0.02222811550712789	8.038448630482335e-4	6.701267360833058e-4	-0.2232393125	0.03765042170586096	6007173
Armidale	39	0.02192997136770539	0.022581408169128295	7.578350049739068e-4	6.422025626680257e-4	-0.124279125	0.03214599334468709	3085270
Armidale	4	0.024552797422768467	0.025891623331540093	8.259256354794815e-4	6.649636321385345e-4	-0.217611	0.04353804863028812	1000589
