city	habitat	tp_mean	tw_mean	tp_sd	tw_sd	taj	taj_sd	nSites
Albuquerque	r	0.026989322994262155	0.03200117318751521	0.0013754307003087114	0.0010143774107154054	-0.5396303125	0.06615947680034835	1014098
Albuquerque	u	0.028976774703046965	0.03454662284531055	0.0013304794407509777	9.070059083111842e-4	-0.556195625	0.0706663532136523	805367
Antwerp	r	0.03431930474881819	0.042836308774094896	0.00181335055799766	0.0014501992919016419	-0.682612625	0.08142041237255351	274252
Antwerp	u	0.028560766376866817	0.03414765460380331	0.0013437692978663734	9.041315542178919e-4	-0.56237125	0.06983063779507293	925024
Armidale	r	0.028961602712083014	0.03372372770724583	0.0013611440964668986	9.864637366756546e-4	-0.48635275	0.06743948594653827	966853
Armidale	u	0.033982632031573125	0.041052128550612424	0.003436243092309798	0.0027046818130077106	-0.5976880625	0.13437001213935038	162945
Athens	r	0.029538413110420776	0.03440284631990816	0.001674239081160594	0.0011017586232653215	-0.48871431249999997	0.08225448161060385	660506
Athens	u	0.027686955835349837	0.032347788755216315	0.0014167349985516639	9.469668492918373e-4	-0.4987145	0.0703489753633034	1148105
Buenos_Aires	r	0.024751772692258374	0.028518358555617945	9.369085396677119e-4	8.321895160497493e-4	-0.4688783125	0.043777664188820835	1565283
Buenos_Aires	u	0.024366687750573393	0.0276430626470464	0.0010824470167732775	8.364573275496066e-4	-0.412692875	0.05280508811831804	1529466
Calgary	r	0.02600059688759222	0.03087428079811936	0.0011646100833380738	8.317991304542719e-4	-0.543655	0.06107214052468331	1918361
Calgary	u	0.022974989310575046	0.026816627213520138	9.680398890121568e-4	8.181450734117277e-4	-0.4973505	0.04388046265025016	3225949
Cape_Town	r	0.029378235908616965	0.034732677988604264	0.001536439358587413	0.001204571189301183	-0.535271875	0.06996046137438393	558571
Cape_Town	u	0.022195350602670666	0.026998563648668455	8.915798703172071e-4	6.651307926273915e-4	-0.6175471875	0.05034675520192438	3157154
