city	population	tp_mean	tw_mean	tp_sd	tw_sd	taj	taj_sd	nSites	continent	site
Albuquerque	A	0.02139749435276636	0.02255421032998286	7.373255682852323e-4	6.152594928582018e-4	-0.220533625	0.03517757785081286	4764908	NORTH AM.	u
Albuquerque	B	0.02497745012656172	0.02708714625566101	0.00103076367179153	8.804557855417029e-4	-0.327688375	0.04942363974573976	935232	NORTH AM.	u
Albuquerque	C	0.0232479865421488	0.02398283936135553	8.194469811652295e-4	6.50216163859184e-4	-0.13208106249999998	0.04182071792380542	1814015	NORTH AM.	u
Albuquerque	D	0.02471019733183655	0.02530353771913685	0.00108495286547787	8.137853618279103e-4	-0.0995864375	0.06367454412868484	1258251	NORTH AM.	u
Albuquerque	F	0.0209074782654117	0.02159020125504288	6.57005016727076e-4	5.681219945215851e-4	-0.139541	0.02831732678061261	5744767	NORTH AM.	r
Albuquerque	E	0.02177483478952758	0.02237153953182216	6.081662229953356e-4	5.05673936436049e-4	-0.117679125	0.03260555628697866	2723519	NORTH AM.	u
Albuquerque	G	0.02329456723208022	0.02420803951829522	8.431780353130055e-4	7.317962911517459e-4	-0.1589445	0.0367828783956159	2521749	NORTH AM.	r
Albuquerque	H	0.02338681376256842	0.02430427569864041	9.037594182495974e-4	7.041153634591711e-4	-0.159323875	0.05213750545480671	1584045	NORTH AM.	r
Albuquerque	I	0.02136419309064261	0.02189534406459508	9.472290257348052e-4	7.903192411890013e-4	-0.1050249375	0.04058318748031628	2485103	NORTH AM.	r
Albuquerque	J	0.02589750807566188	0.0274232750671142	0.00109959661571745	8.929862134592182e-4	-0.23450225	0.05195717513298813	779041	NORTH AM.	r
Antwerp	A	0.02410487540776138	0.02567599184145812	9.094753148214558e-4	7.884107486708578e-4	-0.2575245	0.03448954084356589	1852633	EUROPE	u
Antwerp	B	0.02418882168567177	0.02556989897176718	0.00100725398996292	8.364222297627429e-4	-0.2276135625	0.04502200812931196	1498196	EUROPE	u
Antwerp	C	0.02293946179653683	0.02402771069913269	8.837500320115863e-4	7.22025793876864e-4	-0.19500725	0.03965728125409842	1572094	EUROPE	u
Antwerp	F	0.02558150979102833	0.02740709804756292	0.00118910899621881	0.0010252304210625	-0.280609375	0.047568389069317867	1486673	EUROPE	r
Antwerp	G	0.02660427821856954	0.0283255601233143	0.00104862645110275	8.490650093957547e-4	-0.255946625	0.04483836787822828	1264477	EUROPE	r
Antwerp	H	0.02574225284790082	0.02698743167746408	9.878333240021533e-4	7.670076695841539e-4	-0.198664125	0.05109305937975659	983234	EUROPE	r
Antwerp	I	0.03027685329226132	0.03240355644513315	0.00282489291109171	0.00226617364827981	-0.2803584375	0.10531351836807323	157472	EUROPE	r
Antwerp	D	0.02643093026425519	0.02799471069903788	0.00110845227880651	8.231084311563439e-4	-0.2356115625	0.05911459038733584	774828	EUROPE	u
Antwerp	J	0.02678315226197402	0.02880061136477214	0.00108570885115115	8.400554625779004e-4	-0.301150125	0.06212181442925933	728807	EUROPE	r
Antwerp	E	0.02174305366813379	0.02217835378943619	7.74310020654827e-4	6.510139419314573e-4	-0.084809	0.03127296200447494	6040831	EUROPE	u
Armidale	A	0.02776842461349285	0.03130014858193123	0.002364141283016	0.00214655732018184	-0.486127125	0.09579914344841504	120490	OCEANIA	u
Armidale	B	0.03006238750408568	0.03431007594472349	0.00309569075641198	0.00271848989668915	-0.5238731875	0.12499686294155211	100362	OCEANIA	u
Armidale	C	0.02301130595394371	0.02333745491073596	0.00118547307646804	9.506316536371192e-4	-0.0601636875	0.05222617654231608	1575550	OCEANIA	u
Armidale	F	0.02360116659592505	0.02453009724436243	9.430011202107892e-4	7.043978354827872e-4	-0.160033375	0.05357138393691791	1972353	OCEANIA	r
Armidale	G	0.0270331641936164	0.02754326805141316	0.00401947521802202	0.00345059697030589	-0.0942005625	0.16467623036935994	44477	OCEANIA	r
Armidale	H	0.02105052510507986	0.02222811550712789	8.038448630482335e-4	6.701267360833058e-4	-0.2232393125	0.03765042170586096	6007173	OCEANIA	r
